Inguinal hernia	HP:0000023
Rectovaginal fistula	HP:0000143
Abnormal connection between rectum and vagina	HP:0000143
Gastrointestinal angiodysplasia	HP:0000471
GI angiodysplasia	HP:0000471
Yellow skin	HP:0000952
Yellowing of the skin	HP:0000952
Icterus	HP:0000952
Jaundice	HP:0000952
Intermittent yellow skin	HP:0001046
Intermittent icterus	HP:0001046
Intermittent yellowing of skin	HP:0001046
Intermittent jaundice	HP:0001046
Biliary tract disease	HP:0001080
Biliary tract abnormality	HP:0001080
Gallstones	HP:0001081
Cholelithiasis	HP:0001081
Cholecystitis	HP:0001082
Gallbladder inflammation	HP:0001082
Liver abnormality	HP:0001392
Abnormal liver	HP:0001392
Abnormality of the liver	HP:0001392
Liver disease	HP:0001392
Cirrhosis	HP:0001394
Liver cirrhosis	HP:0001394
Scar tissue replaces healthy tissue in the liver	HP:0001394
Hepatic cirrhosis	HP:0001394
Hepatic fibrosis	HP:0001395
Liver fibrosis	HP:0001395
Slowed or blocked flow of bile from liver	HP:0001396
Cholestasis	HP:0001396
Fatty liver	HP:0001397
Fatty infiltration of liver	HP:0001397
Steatosis	HP:0001397
Liver steatosis	HP:0001397
Hepatic steatosis	HP:0001397
Liver failure	HP:0001399
Hepatic failure	HP:0001399
Intrahepatic biliary dysgenesis	HP:0001401
Increased hepatocellular carcinoma risk	HP:0001402
Hepatocellular carcinoma	HP:0001402
Increased incidence of hepatocellular carcinoma	HP:0001402
Macrovesicular hepatic steatosis	HP:0001403
Macrovesicular steatosis	HP:0001403
Hepatocellular loss	HP:0001404
Hepatocellular necrosis	HP:0001404
Death of liver cells	HP:0001404
Periportal fibrosis	HP:0001405
Impaired release of bile from liver	HP:0001406
Intrahepatic cholestasis	HP:0001406
Hepatic cysts	HP:0001407
Liver cysts	HP:0001407
Bile duct proliferation	HP:0001408
Proliferation of bile canaliculi	HP:0001408
Portal hypertension	HP:0001409
Liver dysfunction	HP:0001410
Decreased liver function	HP:0001410
Hepatopathy	HP:0001410
Liver dysfunction, mild	HP:0001410
Enteroviral hepatitis	HP:0001412
Micronodular cirrhosis	HP:0001413
Microvesicular steatosis	HP:0001414
Microvesicular hepatic steatosis	HP:0001414
Enlarged liver and spleen	HP:0001433
Hepatosplenomegaly	HP:0001433
Abnormality of abdomen structure	HP:0001438
Abnormal abdomen morphology	HP:0001438
Abnormality of the abdomen	HP:0001438
Abdomen abnormality	HP:0001438
Abnormality of abdomen morphology	HP:0001438
Umbilical hernias	HP:0001537
Umbilical hernia	HP:0001537
Extended belly	HP:0001538
Abdominal protuberance	HP:0001538
Protuberant abdomen	HP:0001538
Belly sticks out	HP:0001538
Exomphalos	HP:0001539
Omphalocele	HP:0001539
Omphalocoele	HP:0001539
Diastasis recti	HP:0001540
Gap between large left and right abdominal muscles	HP:0001540
Accumulation of fluid in the abdomen	HP:0001541
Ascites	HP:0001541
Gastroschisis	HP:0001543
Prominent belly button	HP:0001544
Prominent umbilicus	HP:0001544
Prominent navel	HP:0001544
Anteriorly displaced anus	HP:0001545
Anus anteposition	HP:0001545
Anteriorly placed anus	HP:0001545
Abnormality of the ileum	HP:0001549
Abnormal ileum morphology	HP:0001549
Abnormal umbilicus	HP:0001551
Abnormal umbilicus morphology	HP:0001551
Abnormal navel	HP:0001551
Abnormal belly button	HP:0001551
Abnormality of the pancreas	HP:0001732
Pancreatic disease	HP:0001732
Pancreatic inflammation	HP:0001733
Pancreatitis	HP:0001733
Annular pancreas	HP:0001734
Acute pancreatic inflammation	HP:0001735
Acute pancreatitis	HP:0001735
Pancreatitis, acute	HP:0001735
Pancreatic cyst	HP:0001737
Pancreatic cysts	HP:0001737
Multiple pancreatic cysts	HP:0001737
Inability to properly digest food due to lack of pancreatic digestive enzymes	HP:0001738
Exocrine pancreatic insufficiency	HP:0001738
Pancreatic insufficiency	HP:0001738
Abnormality of the spleen	HP:0001743
Splenomegaly	HP:0001744
Increased spleen size	HP:0001744
Absent spleen	HP:0001746
Asplenia	HP:0001746
Accessory spleen	HP:0001747
Multiple small spleens	HP:0001748
Polysplenia	HP:0001748
Accessory spleens	HP:0001748
Multiple accessory spleens	HP:0001748
Foetal ascites	HP:0001791
Fetal ascites	HP:0001791
Hypersplenism	HP:0001971
Gastrointestinal tract defects	HP:0002012
Abnormality of the abdominal organs	HP:0002012
Emesis	HP:0002013
Vomiting	HP:0002013
Throwing up	HP:0002013
Diarrhea	HP:0002014
Watery stool	HP:0002014
Diarrhoea	HP:0002014
Deglutition disorder	HP:0002015
Swallowing difficulty	HP:0002015
Dysphagia	HP:0002015
Swallowing difficulties	HP:0002015
Poor swallowing	HP:0002015
Difficulty swallowing	HP:0002015
Nausea and vomiting	HP:0002017
Nausea	HP:0002018
Costiveness	HP:0002019
Constipation	HP:0002019
Dyschezia	HP:0002019
Gastro-esophageal reflux	HP:0002020
Acid reflux disease	HP:0002020
GERD	HP:0002020
Gastroesophageal reflux	HP:0002020
Heartburn	HP:0002020
Gastro-oesophageal reflux	HP:0002020
Gastroesophageal reflux disease	HP:0002020
Acid reflux	HP:0002020
Pylorus stenosis	HP:0002021
Pyloric stenosis	HP:0002021
Infantile hypertrophic pyloric stenosis	HP:0002021
Imperforate anus	HP:0002023
Absent anus	HP:0002023
Anal atresia	HP:0002023
Intestinal malabsorption	HP:0002024
Malabsorption	HP:0002024
Narrowing of anal opening	HP:0002025
Anal stenosis	HP:0002025
Pain in stomach	HP:0002027
Abdominal pain	HP:0002027
Stomach pain	HP:0002027
Gastro pain	HP:0002027
Gastrointestinal pain	HP:0002027
Upset stomach	HP:0002027
Abdominal discomfort	HP:0002027
Chronic diarrhoea	HP:0002028
Recurrent diarrhea	HP:0002028
Chronic diarrhea	HP:0002028
Diarrhea, recurrent	HP:0002028
Recurrent diarrhoea	HP:0002028
Anomaly of the oesophagus	HP:0002031
Abnormality of esophagus structure	HP:0002031
Abnormal oesophagus morphology	HP:0002031
Anomaly of the esophagus	HP:0002031
Abnormal esophagus morphology	HP:0002031
Abnormality of oesophagus structure	HP:0002031
Esophageal atresia	HP:0002032
Birth defect in which part of oesophagus did not develop	HP:0002032
Birth defect in which part of esophagus did not develop	HP:0002032
Sucking weakness	HP:0002033
Poor suck	HP:0002033
Poor sucking	HP:0002033
Abnormality of the rectum	HP:0002034
Abnormal rectum morphology	HP:0002034
Anomaly of the rectum	HP:0002034
Rectal prolapse	HP:0002035
Rectal prolapsed	HP:0002035
Rectum protrudes through anus	HP:0002035
Hiatal hernia	HP:0002036
Hiatus hernia	HP:0002036
Stomach hernia	HP:0002036
Inflammation of the large intestine	HP:0002037
Inflammatory bowel disease	HP:0002037
Protein avoidance	HP:0002038
Anorexia	HP:0002039
Enlarged vein in esophagus	HP:0002040
Enlarged vein in oesophagus	HP:0002040
Esophageal varices	HP:0002040
Esophageal varix	HP:0002040
Intractable diarrhea	HP:0002041
Intractable diarrhoea	HP:0002041
Narrowing of esophagus due to inflammation and scar tissue	HP:0002043
Narrowing of oesophagus due to inflammation and scar tissue	HP:0002043
Esophageal stricture	HP:0002043
Zollinger-Ellison syndrome	HP:0002044
Neuromuscular dysphagia	HP:0002068
Gastrointestinal haemorrhage	HP:0002239
Gastrointestinal hemorrhage	HP:0002239
GI haemorrhage	HP:0002239
Gastrointestinal bleeding	HP:0002239
GI hemorrhage	HP:0002239
Enlarged liver	HP:0002240
Hepatomegaly	HP:0002240
Enteropathy	HP:0002242
Abnormal intestine morphology	HP:0002242
Abnormality of the intestine	HP:0002242
Protein-losing enteropathy	HP:0002243
Abnormality of the small intestine	HP:0002244
Meckel diverticulum	HP:0002245
Abnormality of the duodenum	HP:0002246
Abnormal duodenum morphology	HP:0002246
Duodenal atresia	HP:0002247
Absence or narrowing of first part of small bowel	HP:0002247
Vomitting blood	HP:0002248
Hematemesis	HP:0002248
Black feces	HP:0002249
Melena	HP:0002249
Black faeces	HP:0002249
Abnormality of the large intestine	HP:0002250
Abnormal large intestine morphology	HP:0002250
